Gender,Married,Dependents,Education,Self_Employed,EmploymentType,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
1,1,0,0,0,2,5532.68,0.0,185.88,300.0,1.0,1,1
1,1,1,0,1,1,4869.05,0.0,183.92,240.0,1.0,2,1
1,0,0,0,1,1,4096.54,1924.2,269.85,240.0,1.0,1,1
1,1,0,0,0,2,4974.75,1602.74,264.07,300.0,1.0,1,1
1,0,2,0,0,2,7676.56,0.0,296.04,120.0,1.0,1,1
1,1,3,1,0,2,1931.49,0.0,60.22,240.0,1.0,1,1
0,0,2,0,0,2,4429.63,0.0,182.92,180.0,1.0,1,1
0,0,2,0,1,0,7161.28,2377.59,421.83,300.0,1.0,1,1
1,1,2,0,0,2,3957.6,0.0,128.16,240.0,1.0,2,1
1,0,0,0,1,3,4979.86,1755.34,255.3,180.0,1.0,0,1
1,0,3,0,0,2,4911.32,0.0,196.13,180.0,0.0,0,0
1,1,0,0,0,2,4332.48,736.33,198.01,240.0,1.0,0,1
1,0,2,0,0,2,5857.02,0.0,238.32,120.0,0.0,0,0
0,0,0,0,1,3,6831.54,2538.67,411.42,180.0,1.0,1,1
1,1,1,1,0,2,2541.88,0.0,104.11,300.0,1.0,1,1
1,1,0,0,1,3,6041.61,0.0,211.29,180.0,1.0,2,1
1,1,0,0,0,2,4004.69,875.09,228.57,240.0,1.0,0,0
1,1,0,1,0,2,856.97,3398.76,168.59,180.0,0.0,1,0
1,1,1,0,0,2,1977.43,0.0,36.38,120.0,1.0,0,1
1,0,2,0,1,1,3833.16,0.0,173.11,240.0,0.0,2,0
1,0,2,0,0,2,3995.23,3124.96,223.39499999999998,240.0,1.0,0,1
1,1,3,0,0,2,2204.51,0.0,100.22,120.0,1.0,2,1
0,1,3,0,0,4,1390.73,3324.13,189.22,300.0,1.0,0,0
1,1,0,0,1,1,3672.93,0.0,95.95,240.0,1.0,0,1
0,1,1,1,0,2,1431.48,0.0,53.58,300.0,0.0,0,0
0,1,1,1,1,1,2677.81,2915.13,212.16,180.0,0.0,1,1
1,0,0,1,1,0,5076.31,0.0,226.7,120.0,1.0,0,0
1,1,0,0,0,2,3450.65,1538.44,190.42,240.0,0.0,0,0
0,1,0,0,0,2,5263.57,0.0,223.39499999999998,120.0,1.0,2,1
1,0,0,0,1,0,8763.96,2568.19,457.76,300.0,1.0,0,1
1,0,2,0,1,0,11025.3,4201.31,613.05,180.0,1.0,0,1
1,1,0,0,1,3,5549.34,0.0,238.47,240.0,1.0,1,1
1,1,2,0,0,2,7517.05,0.0,293.26,180.0,0.0,2,0
1,0,0,0,0,4,668.43,996.87,49.86,300.0,1.0,0,0
1,1,0,0,1,1,5565.49,160.85,233.94,300.0,1.0,2,1
1,1,0,1,0,2,3357.09,2425.16,230.89,120.0,1.0,0,1
0,1,0,0,1,1,6192.39,2080.53,327.21,180.0,1.0,2,1
0,1,0,0,1,3,4520.1,0.0,155.84,360.0,1.0,1,1
1,1,0,0,0,2,5431.28,0.0,168.11,180.0,1.0,2,1
1,1,0,0,0,2,500.0,0.0,10.47,120.0,1.0,0,1
1,0,0,0,0,4,1353.62,639.95,66.55,120.0,0.0,1,0
1,0,0,0,0,2,3799.06,0.0,181.53,300.0,1.0,0,1
1,1,3,0,0,2,6220.9,1244.01,232.51,180.0,1.0,2,1
1,1,0,0,1,3,4579.67,0.0,180.66,240.0,0.0,2,0
1,1,0,0,0,2,2086.15,0.0,50.46,240.0,1.0,0,1
1,0,3,1,0,2,3498.19,3621.52,273.01,240.0,0.0,0,0
1,0,2,0,0,2,2657.78,1742.71,166.66,180.0,1.0,1,1
1,1,2,0,0,2,4672.73,0.0,169.09,360.0,1.0,1,1
1,1,2,0,0,4,2672.19,2288.62,198.98,120.0,1.0,2,1
1,1,0,0,0,2,7607.37,0.0,267.99,240.0,0.0,2,0
1,1,0,0,0,2,6075.11,0.0,256.14,360.0,0.0,2,1
1,1,1,0,1,1,3423.2,0.0,190.24,120.0,1.0,2,1
0,0,0,1,1,3,2083.92,0.0,68.74,240.0,0.0,0,0
1,1,0,0,0,4,1833.82,0.0,107.43,120.0,1.0,2,1
1,0,0,0,0,2,6443.64,0.0,207.73,180.0,1.0,2,1
0,1,3,0,1,0,500.0,267.17,10.0,120.0,1.0,2,1
1,0,3,0,0,2,6249.92,555.07,312.7,120.0,1.0,2,1
1,1,0,0,1,1,8119.43,6279.85,593.08,120.0,1.0,1,1
0,0,3,0,1,0,8551.03,0.0,223.39499999999998,360.0,1.0,1,1
0,0,0,0,1,3,2637.62,0.0,141.39,180.0,0.0,2,0
1,0,3,0,0,2,4304.15,389.67,223.39499999999998,120.0,1.0,0,1
1,1,0,0,1,0,8858.24,0.0,373.32,120.0,1.0,1,1
1,1,0,0,1,3,3459.4,0.0,116.32,300.0,1.0,2,1
1,0,0,0,0,2,5670.75,4653.56,428.33,180.0,1.0,0,1
1,1,0,0,0,2,500.0,1189.81,43.16,300.0,1.0,1,1
1,1,0,1,1,3,3917.58,2298.42,288.38,180.0,1.0,0,1
1,1,1,0,1,0,6134.86,0.0,221.47,240.0,1.0,1,1
1,1,0,0,0,2,5281.75,0.0,223.39499999999998,360.0,1.0,1,1
1,0,1,0,0,2,2079.34,3001.45,218.26,120.0,1.0,0,1
1,1,1,0,1,3,5939.55,5739.95,479.11,360.0,1.0,0,1
1,0,2,0,0,2,6496.86,1814.36,338.53,240.0,1.0,1,1
1,1,1,1,0,2,2443.18,0.0,118.64,240.0,0.0,1,0
0,0,0,0,0,2,4897.36,1865.05,325.86,360.0,1.0,0,1
1,1,1,0,0,2,2373.86,0.0,72.67,120.0,1.0,2,1
1,1,0,0,0,2,1212.2,0.0,59.26,120.0,1.0,0,1
0,1,2,0,0,2,5812.99,0.0,265.88,120.0,1.0,1,1
1,0,0,0,1,0,8115.68,0.0,311.76,240.0,0.0,1,0
1,0,0,0,0,2,3916.28,1510.25,227.55,300.0,1.0,0,1
1,1,0,0,0,2,5288.14,1900.27,250.51,240.0,0.0,0,0
1,0,2,0,1,0,8083.74,0.0,346.94,180.0,1.0,2,1
0,1,1,1,0,2,2736.74,1383.46,170.1,180.0,1.0,1,1
1,1,1,0,1,3,3168.53,0.0,108.72,300.0,1.0,1,1
0,1,0,0,0,2,4457.66,201952.06,238.63,360.0,1.0,0,1
1,0,3,0,1,1,5845.16,0.0,250.61,300.0,1.0,0,1
1,0,1,0,0,2,3793.51,0.0,145.65,120.0,1.0,1,1
1,1,1,0,1,1,7451.64,0.0,306.03,180.0,1.0,2,1
1,1,0,0,1,0,3948.27,0.0,178.37,300.0,1.0,0,1
1,1,2,0,1,1,4299.66,594.82,147.23,120.0,1.0,0,1
1,1,0,0,1,1,1775.4,4247.15,245.99,300.0,1.0,0,0
1,1,0,0,0,2,6906.88,0.0,259.27,180.0,1.0,0,1
1,1,0,0,0,2,5827.63,2040.43,280.2,120.0,1.0,2,1
1,1,3,0,1,3,4125.44,1736.73,229.97,300.0,1.0,2,1
1,1,0,0,1,0,15174.97,2268.53,659.59,360.0,1.0,0,1
1,1,0,0,0,2,6996.03,1836.25,400.06,360.0,1.0,1,1
0,1,2,1,0,2,4866.2,0.0,187.51,240.0,1.0,1,1
0,1,0,0,0,2,9038.5,0.0,348.49,240.0,1.0,0,1
1,0,0,1,1,3,1526.88,3580.15,144.62,120.0,1.0,1,1
1,1,1,1,1,0,2302.39,1772.54,162.2,240.0,1.0,1,1
1,0,2,1,0,3,2414.22,3523.15,266.9,360.0,1.0,1,1
1,1,0,0,1,1,2438.34,4328.76,239.97,240.0,1.0,0,1
1,0,1,0,1,0,11953.33,1085.88,523.81,120.0,1.0,0,1
1,1,2,0,0,2,4171.24,0.0,225.72,120.0,1.0,2,1
1,0,0,0,0,2,5192.44,3893.1,335.77,300.0,1.0,2,1
1,1,1,0,1,0,5492.62,30.41,200.8,360.0,1.0,1,1
0,1,0,1,1,0,2015.53,3810.93,244.76,120.0,1.0,1,1
1,1,0,0,0,4,783.91,4893.22,246.4,300.0,1.0,1,1
1,1,0,0,0,2,1930.72,0.0,67.23,300.0,1.0,2,1
0,1,3,0,1,0,6543.12,3239.25,403.32,300.0,1.0,0,1
1,1,2,0,1,3,4658.2,2356.2,272.01,240.0,1.0,0,1
1,1,2,0,0,2,3033.09,2983.04,261.91,240.0,1.0,0,1
1,0,2,0,1,0,2876.25,0.0,106.9,120.0,1.0,0,1
0,1,2,1,1,3,2001.06,0.0,121.01,240.0,1.0,0,1
1,1,2,0,1,0,9455.88,0.0,401.88,180.0,0.0,1,0
1,0,0,1,0,4,1243.38,1395.48,104.1,360.0,1.0,2,1
1,1,1,0,1,0,11425.81,0.0,478.25,300.0,0.0,1,1
1,1,0,0,1,0,10202.76,0.0,407.11,240.0,0.0,0,0
1,1,0,0,0,2,6627.22,224.01,308.75,180.0,1.0,2,1
1,0,0,0,1,3,5462.18,0.0,253.35,360.0,0.0,2,0
1,1,0,0,0,2,5273.73,0.0,257.3,240.0,1.0,0,1
1,0,0,0,1,3,3700.23,0.0,157.48,300.0,1.0,0,1
0,1,0,0,1,0,3112.5,0.0,77.87,240.0,1.0,1,1
1,0,3,0,0,2,3540.68,2473.0,246.31,240.0,1.0,2,1
1,1,0,1,1,3,1576.1,0.0,72.47,180.0,1.0,1,1
0,0,0,0,0,2,4757.7,0.0,223.39499999999998,120.0,1.0,1,1
1,0,1,0,0,2,1158.85,0.0,84.03,240.0,0.0,2,0
1,1,0,1,0,2,3521.89,3749.87,343.77,360.0,1.0,2,1
1,1,0,0,1,3,4214.74,2809.6,281.76,120.0,1.0,1,1
1,0,0,0,0,2,6629.11,0.0,217.31,300.0,1.0,2,1
1,1,0,0,1,0,7101.72,0.0,290.22,120.0,0.0,2,0
1,1,1,0,0,2,4356.04,0.0,146.92,240.0,1.0,2,1
0,1,2,0,0,2,7259.81,5943.61,546.34,120.0,1.0,2,1
1,0,0,0,1,1,6813.89,2886.14,313.22,240.0,1.0,2,1
1,1,2,0,0,2,3689.53,5061.08,350.94,360.0,1.0,1,1
1,1,2,0,0,2,3779.87,3141.31,276.75,360.0,1.0,0,1
0,0,1,0,1,3,7426.6,0.0,279.31,300.0,0.0,2,0
1,1,0,0,0,2,3516.37,0.0,178.28,300.0,1.0,1,1
0,1,0,0,0,3,5481.92,0.0,223.39499999999998,240.0,1.0,0,0
1,1,0,0,1,1,4938.28,0.0,177.07,300.0,1.0,0,1
1,1,0,0,1,1,5985.42,0.0,246.22,360.0,0.0,2,0
1,1,1,0,0,2,2721.01,2708.45,163.56,120.0,1.0,0,1
1,1,1,0,1,3,4926.39,0.0,244.84,120.0,1.0,0,1
1,1,0,0,1,3,4436.14,550.69,178.78,180.0,1.0,2,1
1,0,0,1,0,4,500.0,1017.88,63.22,240.0,1.0,1,1
1,1,1,0,1,1,4325.45,0.0,170.52,120.0,1.0,0,1
1,1,3,0,1,3,500.0,1589.52,116.41,360.0,0.0,2,0
1,0,0,1,1,1,1710.51,0.0,109.85,240.0,1.0,0,1
1,1,0,0,0,2,2393.23,0.0,71.1,120.0,1.0,2,1
1,1,3,0,0,2,3700.48,1572.55,243.96,120.0,1.0,2,1
1,0,3,0,1,1,4627.65,221.02,229.05,180.0,1.0,2,1
1,1,0,1,1,1,5166.32,3234.29,323.78,120.0,1.0,2,1
1,0,0,0,0,2,3994.91,0.0,171.34,180.0,1.0,1,1
1,0,2,0,1,1,5134.09,2580.02,277.88,240.0,1.0,0,1
0,1,2,0,0,4,1531.69,0.0,75.17,120.0,1.0,1,0
1,1,1,0,0,2,3694.17,0.0,144.28,240.0,1.0,2,1
1,1,0,0,1,0,3033.37,2980.5,242.06,240.0,1.0,2,1
1,0,0,1,0,2,3006.2,0.0,128.01,360.0,0.0,0,0
1,1,1,1,0,2,4970.53,2574.75,275.34,180.0,1.0,0,0
0,1,0,0,0,2,1887.0,0.0,99.02,300.0,0.0,1,0
1,1,0,0,1,1,5931.76,1262.78,268.6,120.0,1.0,0,1
1,0,1,0,0,2,2599.38,3447.38,213.85,180.0,0.0,0,1
1,0,0,1,1,3,2715.78,1208.54,196.85,300.0,1.0,1,1
1,0,1,0,0,2,6052.12,216.89,224.11,300.0,1.0,0,1
1,1,0,0,1,0,10760.86,5504.98,640.28,240.0,1.0,0,1
1,0,0,1,0,2,2206.46,5294.2,337.52,240.0,1.0,0,0
1,1,2,1,0,2,1316.33,3686.38,223.39499999999998,120.0,0.0,0,1
1,0,1,1,0,2,1749.87,0.0,88.83,240.0,0.0,1,0
1,1,2,0,0,2,5009.75,3066.36,336.75,180.0,0.0,1,0
0,0,2,1,0,2,3194.61,0.0,123.86,120.0,0.0,0,0
1,1,0,0,0,2,4951.03,0.0,169.75,360.0,1.0,0,1
1,1,2,1,0,2,4318.63,1042.4,182.36,300.0,1.0,1,0
0,0,1,0,0,2,7576.12,0.0,223.39499999999998,120.0,0.0,1,0
1,1,0,0,0,2,4850.16,0.0,183.84,180.0,1.0,2,1
1,1,1,0,1,0,5023.98,0.0,132.13,240.0,1.0,0,1
1,1,2,0,1,1,5109.32,1284.55,274.16,240.0,1.0,1,1
1,1,3,0,0,2,4525.65,3556.4,338.3,360.0,1.0,2,1
1,1,0,1,0,2,500.0,0.0,87.12,120.0,1.0,2,1
1,1,3,0,1,1,7113.09,0.0,308.33,360.0,1.0,0,1
1,1,1,1,0,2,3469.31,5300.29,307.48,120.0,0.0,0,0
1,1,0,0,1,3,9125.58,0.0,344.8,240.0,1.0,2,1
1,1,0,0,0,2,4826.23,0.0,173.74,240.0,1.0,0,1
1,0,0,0,0,3,3276.5,337.25,90.07,300.0,1.0,2,1
1,1,0,0,1,3,2236.68,2446.38,242.91,360.0,1.0,0,1
1,1,2,0,0,2,3904.91,0.0,223.39499999999998,360.0,0.0,0,0
1,1,0,0,0,2,1673.17,0.0,80.99,300.0,1.0,1,1
0,0,0,1,1,3,5008.75,2429.93,327.47,360.0,0.0,2,0
1,1,0,1,1,3,3421.29,2824.93,251.6,180.0,1.0,1,1
1,0,0,0,0,2,3116.06,0.0,164.33,360.0,1.0,2,1
1,0,0,1,0,2,500.0,466.1,75.92,240.0,1.0,1,1
0,0,0,0,1,0,7814.95,4076.97,467.7,360.0,1.0,0,1
1,0,0,0,0,2,5402.06,0.0,260.0,360.0,0.0,1,0
1,1,3,0,0,2,2452.88,137.47,37.12,300.0,1.0,2,1
1,1,3,0,0,2,4791.1,1259.09,213.43,240.0,1.0,0,1
0,0,0,1,0,2,2623.62,3406.39,234.55,300.0,1.0,2,1
0,1,0,0,0,2,6345.45,3886.79,438.39,180.0,1.0,0,1
1,0,0,0,0,2,4240.8,0.0,226.09,360.0,1.0,0,1
1,0,1,0,1,3,4879.16,0.0,166.55,120.0,1.0,2,1
1,1,0,1,0,2,3809.21,4092.43,4950.37,240.0,0.0,0,0
1,1,0,0,1,0,11539.01,0.0,506.51,180.0,1.0,1,1
1,0,0,1,1,0,5899.5,0.0,267.28,120.0,1.0,1,1
1,0,0,0,0,2,4293.97,0.0,186.86,240.0,1.0,1,1
1,0,1,0,0,2,4406.46,0.0,172.92,360.0,1.0,0,1
0,1,0,0,0,2,2701.06,0.0,81.57,300.0,1.0,1,1
0,1,0,0,1,3,2474.52,0.0,132.1,120.0,1.0,2,1
1,1,0,0,1,3,7309.3,0.0,297.87,180.0,0.0,0,0
0,1,1,0,0,2,3082.37,5473.08,308.1,300.0,0.0,1,1
1,0,0,0,0,2,4752.25,0.0,203.05,120.0,1.0,0,1
1,0,0,0,1,0,3675.41,0.0,150.17,360.0,1.0,1,1
0,0,0,0,0,2,7671.64,0.0,308.38,180.0,1.0,2,1
1,1,1,0,1,0,8326.5,0.0,381.85,300.0,1.0,2,1
0,1,2,1,0,2,4318.31,0.0,181.67,180.0,1.0,1,1
0,1,2,0,0,2,6156.21,0.0,229.51,240.0,0.0,0,0
0,0,0,0,0,2,5341.04,0.0,171.32,120.0,0.0,2,0
1,1,3,0,0,2,7761.58,0.0,377.04,300.0,1.0,0,1
1,1,2,0,0,2,4445.01,0.0,161.16,120.0,1.0,0,1
1,1,0,1,1,0,1977.94,0.0,102.39,360.0,1.0,2,1
1,1,0,1,1,3,2376.93,4786.58,302.34,360.0,1.0,1,1
1,1,0,0,1,3,3966.09,4422.25,345.82,180.0,0.0,0,0
1,1,0,0,1,3,1747.14,2687.74,206.45,300.0,1.0,0,1
0,0,0,0,1,1,4878.37,3065.05,296.92,120.0,0.0,1,1
0,1,0,0,1,3,1944.64,0.0,118.67,300.0,0.0,1,0
1,1,0,0,1,0,4618.07,0.0,176.86,120.0,1.0,1,1
1,1,1,0,1,3,4993.62,0.0,223.0,360.0,1.0,0,1
1,1,0,1,0,4,1556.33,1650.47,117.61,300.0,1.0,0,0
0,1,1,1,1,1,3250.89,1674.4,225.34,240.0,1.0,2,1
1,0,1,0,0,2,5844.25,1775.41,256.43,360.0,0.0,0,0
1,0,0,1,0,2,1706.67,0.0,56.7,180.0,1.0,2,1
1,1,0,0,1,3,1444.0,2131.47,171.87,180.0,0.0,0,0
1,1,0,1,1,1,1864.1,3309.12,234.64,300.0,1.0,1,1
1,1,2,1,0,2,2303.52,0.0,139.33,180.0,1.0,1,1
1,0,2,1,1,1,3501.59,835.04,192.68,240.0,1.0,2,1
1,1,1,0,0,2,4368.86,3982.98,223.39499999999998,240.0,1.0,0,1
1,1,1,0,0,2,3406.43,0.0,179.58,120.0,1.0,2,1
1,1,2,0,0,2,3048.02,368.42,130.64,360.0,1.0,2,1
0,1,2,1,1,3,4258.83,0.0,163.28,240.0,1.0,1,1
0,1,0,0,0,2,3675.24,2862.05,214.08,180.0,1.0,1,1
0,1,2,0,1,0,6717.09,0.0,240.98,360.0,1.0,2,1
1,1,0,1,0,2,1175.53,1378.87,148.1,360.0,1.0,0,1
0,1,0,0,1,3,5010.77,3176.82,359.46,180.0,0.0,0,0
1,1,1,0,1,3,4378.27,5217.96,396.38,120.0,1.0,1,1
1,0,0,0,1,0,7234.65,1804.61,360.51,240.0,1.0,0,1
0,1,2,0,0,4,1347.24,1603.06,85.31,240.0,1.0,1,0
1,0,0,0,1,1,3161.38,0.0,157.01,240.0,1.0,1,1
1,1,0,0,0,2,2769.06,0.0,120.36,240.0,1.0,1,1
1,1,0,0,1,1,2840.3,0.0,114.01,240.0,1.0,1,1
0,1,2,1,0,2,3933.61,0.0,155.66,300.0,1.0,1,1
1,1,0,0,1,0,6968.52,1922.51,338.88,300.0,1.0,2,0
1,0,0,0,1,3,5926.63,0.0,238.31,120.0,1.0,0,1
1,1,3,1,0,2,5095.61,0.0,223.71,300.0,0.0,1,1
1,0,2,1,0,2,2392.35,606.43,156.73,240.0,0.0,0,0
0,1,1,0,0,4,2599.05,1091.8,104.25,120.0,1.0,0,1
1,1,0,0,1,0,4149.32,0.0,184.16,240.0,1.0,2,1
1,0,0,0,0,2,4525.25,0.0,171.8,120.0,1.0,2,1
0,1,0,0,1,1,3789.77,1689.47,210.18,360.0,1.0,1,1
0,1,1,1,1,0,4922.86,3905.8,265.1,300.0,1.0,1,1
1,0,1,0,0,2,3917.45,0.0,126.29,180.0,1.0,2,1
1,0,2,0,1,3,6905.29,2674.07,427.24,300.0,1.0,0,1
0,1,1,0,1,1,4634.96,0.0,169.85,360.0,1.0,0,1
1,1,2,1,1,0,3374.55,769.01,130.98,120.0,0.0,0,0
1,1,0,1,0,2,3079.93,4077.31,282.78,180.0,1.0,1,1
