Loan_ID,Gender,Married,Dependents,Education,Self_Employed,EmploymentType,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP100948,Male,,3+,Graduate,Yes,Business Owner,5730.42,0.0,266.45,180,1.0,Urban,Y
LP100910,Male,Yes,,Not Graduate,No,Salaried,2026.32,0.0,86.35,360,1.0,Rural,Y
LP100828,Male,Yes,0,Graduate,Yes,Business Owner,8943.05,2725.79,458.36,120,1.0,Rural,Y
LP100903,Male,Yes,0,Graduate,No,Salaried,1779.35,0.0,58.72,240,1.0,Urban,N
LP100193,Male,Yes,0,Graduate,,Business Owner,6614.12,3318.61,401.65,120,1.0,Rural,Y
LP100924,Male,No,2,Not Graduate,No,Salaried,1803.12,4201.72,,300,0.0,Rural,N
LP100160,,No,0,Graduate,Yes,Freelancer,6478.59,3114.94,,300,1.0,Rural,Y
LP100484,Male,No,2,Graduate,Yes,Self-Employed,3719.5,2820.66,269.01,120,1.0,Semiurban,Y
LP100846,Male,No,0,Graduate,No,Salaried,4792.82,3257.55,337.29,360,1.0,Rural,Y
LP100133,Male,Yes,0,Graduate,Yes,Business Owner,9122.57,1543.31,405.14,360,1.0,Urban,Y
LP100413,Male,Yes,0,Graduate,No,Salaried,7570.8,2148.75,371.24,360,1.0,Urban,Y
LP100092,Male,Yes,0,Graduate,No,Salaried,3364.99,0.0,72.9,300,1.0,Rural,Y
LP100735,Male,No,1,Graduate,,Salaried,5062.66,1520.29,239.18,180,1.0,Semiurban,Y
LP100638,Male,Yes,2,Not Graduate,No,Salaried,1700.01,1804.77,110.0,360,1.0,Semiurban,Y
LP100996,Male,No,0,Graduate,No,Salaried,8064.84,0.0,356.15,240,1.0,Urban,Y
LP100447,Male,Yes,0,Graduate,Yes,Business Owner,7683.97,492.52,,180,1.0,Urban,Y
LP100020,Male,Yes,0,Graduate,No,Salaried,3986.59,938.1,211.4,240,1.0,Rural,Y
LP100569,Male,Yes,0,Not Graduate,Yes,Business Owner,4340.97,399496.88,296.92,240,1.0,Rural,Y
LP100878,Male,No,0,Not Graduate,No,Salaried,2919.95,2335.73,172.83,360,,Semiurban,N
LP100892,Male,Yes,0,Graduate,Yes,Self-Employed,5467.35,3686.12,317.62,180,1.0,Urban,Y
LP100011,Female,Yes,1,Graduate,No,Salaried,1842.4,0.0,80.65,120,0.0,Urban,N
LP100585,Male,Yes,0,Graduate,No,Salaried,945.1,4349.58,222.06,360,1.0,Urban,Y
LP100158,Male,No,1,Graduate,Yes,Business Owner,12916.1,4634.11,648.01,300,0.0,Semiurban,Y
LP100346,Female,Yes,1,Graduate,No,Salaried,4608.96,0.0,208.74,120,1.0,Rural,Y
LP100914,Male,Yes,1,Graduate,,Business Owner,5690.74,0.0,,360,1.0,Rural,Y
LP100730,Male,Yes,,Graduate,No,Salaried,7911.38,0.0,322.7,360,1.0,Urban,Y
LP100770,Male,No,0,Graduate,Yes,Business Owner,15161.02,1695.62,692.77,360,1.0,Semiurban,Y
LP100644,Male,Yes,1,Graduate,No,Unemployed,1186.99,0.0,41.92,120,0.0,Semiurban,N
LP100824,Male,Yes,3+,Graduate,No,Salaried,4039.79,0.0,109.02,180,1.0,Urban,Y
LP100565,Female,Yes,2,Not Graduate,No,Salaried,4857.03,3203.28,348.41,360,0.0,Semiurban,N
LP100672,Male,Yes,1,Graduate,No,Salaried,5706.6,0.0,206.0,360,0.0,Urban,N
LP100566,Male,Yes,,Not Graduate,Yes,Business Owner,6455.76,4599.48,456.72,360,1.0,Semiurban,Y
LP100411,Male,Yes,0,Graduate,Yes,Freelancer,4875.43,2900.63,299.78,120,1.0,Rural,Y
LP100522,Male,,1,Graduate,Yes,Freelancer,3937.19,0,159.9,120,1.0,Urban,Y
LP100768,Male,Yes,0,Graduate,Yes,Business Owner,9895.04,706.67,430.91,120,1.0,Urban,Y
LP100433,Male,No,2,Graduate,No,Salaried,4982.68,2498.27,273.77,360,0.0,Semiurban,N
LP100887,Male,No,,Graduate,No,Salaried,6413.22,1260.82,292.49,180,,Rural,Y
LP100477,Male,Yes,0,Graduate,No,Salaried,3713.77,0.0,153.55,360,0.0,Rural,N
LP100546,Male,No,1,Graduate,Yes,Business Owner,13886.23,0.0,529.51,300,0.0,Semiurban,N
LP100243,Female,Yes,3+,Not Graduate,No,Salaried,2043.76,5833.91,297.93,360,0.0,Urban,N
LP100574,Male,No,0,Not Graduate,No,Salaried,2990.05,1439.28,155.15,120,0.0,Semiurban,N
LP100837,Male,Yes,0,Not Graduate,Yes,Self-Employed,2093.92,0.0,130.64,360,1.0,Urban,Y
LP100053,Male,Yes,2,Graduate,No,Salaried,2538.29,698.31,158.17,180,1.0,Urban,Y
LP100008,Male,Yes,,Graduate,Yes,Self-Employed,4963.01,586.82,223.91,180,1.0,Semiurban,Y
LP100458,Male,Yes,0,Not Graduate,No,Salaried,3120.32,658.41,140.94,360,1.0,Urban,Y
LP100918,Male,Yes,0,Graduate,Yes,Business Owner,5626.28,360824.88,249.87,120,1.0,Semiurban,Y
LP100993,Male,No,2,Graduate,No,Salaried,2671.79,4011.69,285.73,180,1.0,Semiurban,Y
LP100741,Male,Yes,0,Graduate,,Salaried,5903.15,545.14,216.65,240,0.0,Urban,N
LP100255,Male,Yes,1,Graduate,,Freelancer,5292.18,0.0,221.77,360,1.0,Semiurban,Y
LP100774,Male,Yes,0,Graduate,Yes,Business Owner,7372.17,0.0,307.66,300,1.0,Semiurban,Y
LP100564,Male,Yes,1,Graduate,No,Salaried,6669.57,0.0,337.55,240,1.0,Rural,Y
LP100002,Male,Yes,1,Graduate,Yes,Business Owner,10200.37,614.89,454.97,180,1.0,Semiurban,N
LP100883,Female,Yes,0,Graduate,No,Salaried,2647.47,0.0,114.89,120,0.0,Urban,N
LP100210,Female,Yes,3+,Graduate,Yes,Self-Employed,4403.08,0.0,204.12,180,,Rural,N
LP100661,Male,,1,Graduate,No,Salaried,3532.47,0.0,143.42,360,,Urban,Y
LP100023,Male,Yes,0,Graduate,No,Salaried,5532.68,0.0,185.88,300,1.0,Semiurban,Y
LP100705,Male,Yes,1,Graduate,Yes,Freelancer,4869.05,0.0,183.92,,1.0,Urban,Y
LP100064,Male,No,,Graduate,Yes,Freelancer,4096.54,1924.2,269.85,240,1.0,Semiurban,Y
LP100074,Male,Yes,0,Graduate,No,Salaried,4974.75,1602.74,264.07,300,1.0,Semiurban,Y
LP100107,Male,No,2,Graduate,No,Salaried,7676.56,0.0,296.04,120,1.0,Semiurban,Y
LP100508,Male,Yes,3+,Not Graduate,No,Salaried,1931.49,0.0,60.22,240,1.0,Semiurban,Y
LP100314,Female,No,2,Graduate,No,Salaried,4429.63,0.0,182.92,180,1.0,Semiurban,Y
LP100832,Female,No,2,Graduate,Yes,Business Owner,7161.28,2377.59,421.83,300,1.0,Semiurban,Y
LP100692,Male,Yes,2,Graduate,No,Salaried,3957.6,0.0,128.16,240,1.0,Urban,Y
LP100852,Male,No,0,Graduate,Yes,Self-Employed,4979.86,1755.34,255.3,180,1.0,Rural,Y
LP100229,Male,No,3+,Graduate,No,Salaried,4911.32,0.0,196.13,180,0.0,Rural,N
LP100935,Male,Yes,0,Graduate,No,Salaried,4332.48,736.33,198.01,,1.0,Rural,Y
LP100321,Male,No,2,Graduate,No,Salaried,5857.02,0.0,238.32,120,0.0,Rural,N
LP100336,Female,No,0,Graduate,Yes,Self-Employed,6831.54,2538.67,411.42,180,1.0,Semiurban,Y
LP100703,Male,Yes,1,Not Graduate,,Salaried,2541.88,0.0,104.11,300,1.0,Semiurban,Y
LP100167,,Yes,0,Graduate,Yes,Self-Employed,6041.61,0.0,211.29,180,1.0,Urban,Y
LP100185,Male,Yes,0,Graduate,No,Salaried,4004.69,875.09,228.57,,,Rural,N
LP100627,,Yes,0,Not Graduate,No,Salaried,856.97,3398.76,168.59,180,0.0,Semiurban,N
LP100251,Male,Yes,1,Graduate,No,Salaried,1977.43,0.0,36.38,120,,Rural,Y
LP100794,Male,No,2,Graduate,Yes,Freelancer,3833.16,0.0,173.11,240,0.0,Urban,N
LP100915,Male,No,2,Graduate,No,Salaried,3995.23,3124.96,,240,1.0,Rural,Y
LP100327,Male,Yes,3+,Graduate,No,Salaried,2204.51,0.0,100.22,120,1.0,Urban,Y
LP100117,Female,Yes,3+,Graduate,No,Unemployed,1390.73,3324.13,189.22,300,1.0,Rural,N
LP100238,Male,Yes,0,Graduate,Yes,Freelancer,3672.93,0.0,95.95,240,1.0,Rural,Y
LP100310,Female,Yes,1,Not Graduate,No,Salaried,1431.48,0.0,53.58,300,0.0,Rural,N
LP100599,Female,Yes,1,Not Graduate,Yes,Freelancer,2677.81,2915.13,212.16,180,0.0,Semiurban,Y
LP100171,Male,No,0,Not Graduate,Yes,Business Owner,5076.31,0.0,226.7,120,1.0,Rural,N
LP100678,,Yes,0,Graduate,No,Salaried,3450.65,1538.44,190.42,240,0.0,Rural,N
LP100035,Female,Yes,0,Graduate,No,Salaried,5263.57,0.0,,120,1.0,Urban,Y
LP100152,,No,0,Graduate,Yes,Business Owner,8763.96,2568.19,457.76,300,1.0,Rural,Y
LP100818,Male,No,2,Graduate,Yes,Business Owner,11025.3,4201.31,613.05,180,1.0,Rural,Y
LP100864,Male,Yes,0,Graduate,Yes,Self-Employed,5549.34,0.0,238.47,240,1.0,Semiurban,Y
LP100743,Male,Yes,2,Graduate,No,Salaried,7517.05,0.0,293.26,180,0.0,Urban,N
LP100636,,No,,Graduate,No,Unemployed,668.43,996.87,49.86,300,1.0,Rural,N
LP100470,Male,Yes,0,Graduate,Yes,Freelancer,5565.49,160.85,233.94,300,1.0,Urban,Y
LP100674,Male,,0,Not Graduate,No,Salaried,3357.09,2425.16,230.89,120,1.0,Rural,Y
LP100156,Female,Yes,0,Graduate,Yes,Freelancer,6192.39,2080.53,327.21,180,1.0,Urban,Y
LP100218,Female,Yes,0,Graduate,Yes,Self-Employed,4520.1,0.0,155.84,360,1.0,Semiurban,Y
LP100693,Male,Yes,0,Graduate,No,Salaried,5431.28,0.0,168.11,180,1.0,Urban,Y
LP100733,Male,Yes,0,Graduate,No,Salaried,500,0.0,10.47,120,1.0,Rural,Y
LP100181,Male,No,0,Graduate,No,Unemployed,1353.62,639.95,66.55,120,0.0,Semiurban,N
LP100549,Male,No,0,Graduate,No,Salaried,3799.06,0.0,181.53,300,1.0,Rural,Y
LP100785,Male,Yes,3+,Graduate,No,Salaried,6220.9,1244.01,232.51,180,1.0,Urban,Y
LP100635,Male,Yes,,Graduate,Yes,Self-Employed,4579.67,0.0,180.66,240,0.0,Urban,N
LP100236,Male,Yes,,Graduate,No,Salaried,2086.15,0.0,50.46,,1.0,Rural,Y
LP100026,Male,No,3+,Not Graduate,No,Salaried,3498.19,3621.52,273.01,240,0.0,Rural,N
LP100047,Male,No,2,Graduate,No,Salaried,2657.78,1742.71,166.66,180,1.0,Semiurban,Y
LP100894,Male,Yes,2,Graduate,,Salaried,4672.73,0.0,169.09,360,1.0,Semiurban,Y
LP100242,Male,Yes,2,Graduate,,Unemployed,2672.19,2288.62,198.98,120,,Urban,Y
LP100622,Male,Yes,,Graduate,No,Salaried,7607.37,0.0,267.99,240,0.0,Urban,N
LP100476,Male,Yes,0,Graduate,No,Salaried,6075.11,0.0,256.14,360,0.0,Urban,Y
LP100707,Male,Yes,1,Graduate,Yes,Freelancer,3423.2,0.0,190.24,120,1.0,Urban,Y
LP100518,Female,No,0,Not Graduate,Yes,Self-Employed,2083.92,0.0,68.74,240,0.0,Rural,N
LP100772,Male,Yes,0,Graduate,No,Unemployed,1833.82,0.0,107.43,120,1.0,Urban,Y
LP100410,Male,No,0,Graduate,No,Salaried,6443.64,0.0,207.73,180,1.0,Urban,Y
LP100141,Female,Yes,3+,Graduate,Yes,Business Owner,500,267.17,10,120,1.0,Urban,Y
LP100093,Male,No,3+,Graduate,No,Salaried,6249.92,555.07,312.7,120,1.0,Urban,Y
LP100032,Male,,0,Graduate,Yes,Freelancer,8119.43,6279.85,593.08,120,1.0,Semiurban,Y
LP100686,Female,No,3+,Graduate,Yes,Business Owner,8551.03,0.0,,360,1.0,Semiurban,Y
LP100912,Female,No,0,Graduate,Yes,Self-Employed,2637.62,0.0,141.39,180,0.0,Urban,N
LP100453,Male,No,3+,Graduate,No,Salaried,4304.15,389.67,,120,,Rural,Y
LP100057,Male,Yes,0,Graduate,Yes,Business Owner,8858.24,0.0,373.32,120,1.0,Semiurban,Y
LP100664,Male,Yes,,Graduate,Yes,Self-Employed,3459.4,0.0,116.32,300,1.0,Urban,Y
LP100550,Male,No,0,Graduate,No,Salaried,5670.75,4653.56,428.33,180,,Rural,Y
LP100339,Male,Yes,0,Graduate,No,Salaried,500,1189.81,43.16,300,1.0,Semiurban,Y
LP100024,Male,Yes,0,Not Graduate,Yes,Self-Employed,3917.58,2298.42,288.38,180,1.0,Rural,Y
LP100781,Male,Yes,1,Graduate,Yes,Business Owner,6134.86,0.0,221.47,,,Semiurban,Y
LP100031,Male,Yes,0,Graduate,No,Salaried,5281.75,0.0,,360,,Semiurban,Y
LP100084,Male,No,1,Graduate,No,Salaried,2079.34,3001.45,218.26,120,1.0,Rural,Y
LP100436,Male,Yes,1,Graduate,Yes,Self-Employed,5939.55,5739.95,479.11,360,1.0,Rural,Y
LP100323,Male,No,2,Graduate,No,Salaried,6496.86,1814.36,338.53,240,1.0,Semiurban,Y
LP100013,,Yes,1,Not Graduate,No,Salaried,2443.18,0.0,118.64,240,0.0,Semiurban,N
LP100018,Female,No,,Graduate,No,Salaried,4897.36,1865.05,325.86,360,1.0,Rural,Y
LP100848,Male,Yes,1,Graduate,No,Salaried,2373.86,0.0,72.67,120,1.0,Urban,Y
LP100069,Male,Yes,0,Graduate,No,Salaried,1212.2,0.0,59.26,120,1.0,Rural,Y
LP100358,Female,Yes,2,Graduate,No,Salaried,5812.99,0.0,265.88,120,1.0,Semiurban,Y
LP100536,Male,No,,Graduate,Yes,Business Owner,8115.68,0.0,311.76,240,0.0,Semiurban,N
LP100239,Male,No,0,Graduate,No,Salaried,3916.28,1510.25,227.55,300,1.0,Rural,Y
LP100576,Male,Yes,0,Graduate,No,Salaried,5288.14,1900.27,250.51,,0.0,Rural,N
LP100420,Male,No,2,Graduate,Yes,Business Owner,8083.74,0.0,346.94,180,,Urban,Y
LP100398,Female,,1,Not Graduate,No,Salaried,2736.74,1383.46,170.1,180,1.0,Semiurban,Y
LP100841,Male,Yes,1,Graduate,Yes,Self-Employed,3168.53,0,108.72,300,1.0,Semiurban,Y
LP100985,Female,Yes,0,Graduate,No,Salaried,4457.66,201952.06,238.63,360,1.0,Rural,Y
LP100022,Male,No,3+,Graduate,Yes,Freelancer,5845.16,0.0,250.61,300,1.0,Rural,Y
LP100666,Male,No,1,Graduate,No,Salaried,3793.51,0.0,145.65,120,1.0,Semiurban,Y
LP100742,Male,Yes,1,Graduate,Yes,Freelancer,7451.64,0.0,306.03,180,1.0,Urban,Y
LP100445,Male,Yes,,Graduate,Yes,Business Owner,3948.27,0.0,178.37,300,1.0,Rural,Y
LP100237,Male,Yes,2,Graduate,Yes,Freelancer,4299.66,594.82,147.23,120,1.0,Rural,Y
LP100516,Male,Yes,0,Graduate,Yes,Freelancer,1775.4,4247.15,245.99,300,1.0,Rural,N
LP100100,Male,Yes,0,Graduate,No,Salaried,6906.88,0,259.27,180,1.0,Rural,Y
LP100312,Male,Yes,0,Graduate,No,Salaried,5827.63,2040.43,280.2,120,1.0,Urban,Y
LP100103,Male,Yes,3+,Graduate,Yes,Self-Employed,4125.44,1736.73,229.97,300,1.0,Urban,Y
LP100682,Male,Yes,0,Graduate,Yes,Business Owner,15174.97,2268.53,659.59,360,1.0,Rural,Y
LP100506,Male,Yes,0,Graduate,No,Salaried,6996.03,1836.25,400.06,360,1.0,Semiurban,Y
LP100994,Female,Yes,2,Not Graduate,No,Salaried,4866.2,0.0,187.51,240,1.0,Semiurban,Y
LP100764,Female,Yes,0,Graduate,No,Salaried,9038.5,0.0,348.49,240,1.0,Rural,Y
LP100395,Male,No,0,Not Graduate,Yes,Self-Employed,1526.88,3580.15,144.62,120,1.0,Semiurban,Y
LP100727,Male,Yes,1,Not Graduate,Yes,Business Owner,2302.39,1772.54,162.2,240,1.0,Semiurban,Y
LP100175,Male,No,2,Not Graduate,,Self-Employed,2414.22,3523.15,266.9,360,1.0,Semiurban,Y
LP100106,Male,Yes,0,Graduate,Yes,Freelancer,2438.34,4328.76,239.97,240,1.0,Rural,Y
LP100247,Male,No,1,Graduate,Yes,Business Owner,11953.33,1085.88,523.81,120,1.0,Rural,Y
LP100269,Male,Yes,2,Graduate,No,Salaried,4171.24,0.0,225.72,120,1.0,Urban,Y
LP100590,Male,No,0,Graduate,No,Salaried,5192.44,3893.1,335.77,300,,Urban,Y
LP100392,Male,Yes,1,Graduate,Yes,Business Owner,5492.62,30.41,200.8,360,1.0,Semiurban,Y
LP100871,Female,Yes,0,Not Graduate,Yes,Business Owner,2015.53,3810.93,244.76,120,1.0,Semiurban,Y
LP100936,Male,Yes,0,Graduate,No,Unemployed,783.91,4893.22,246.4,300,1.0,Semiurban,Y
LP100021,Male,Yes,,Graduate,No,Salaried,1930.72,0.0,67.23,300,1.0,Urban,Y
LP100520,Female,Yes,3+,Graduate,Yes,Business Owner,6543.12,3239.25,403.32,300,1.0,Rural,Y
LP100087,,Yes,2,Graduate,Yes,Self-Employed,4658.2,2356.2,272.01,240,1.0,Rural,Y
LP100866,Male,Yes,2,Graduate,No,Salaried,3033.09,2983.04,261.91,240,1.0,Rural,Y
LP100637,Male,No,2,Graduate,Yes,Business Owner,2876.25,0.0,106.9,120,1.0,Rural,Y
LP100329,Female,Yes,2,Not Graduate,Yes,Self-Employed,2001.06,0,121.01,240,1.0,Rural,Y
LP100688,Male,,2,Graduate,Yes,Business Owner,9455.88,0.0,401.88,180,0.0,Semiurban,N
LP100174,Male,No,0,Not Graduate,No,Unemployed,1243.38,1395.48,104.1,360,,Urban,Y
LP100417,,Yes,1,Graduate,Yes,Business Owner,11425.81,0.0,478.25,300,0.0,Semiurban,Y
LP100423,Male,Yes,0,Graduate,Yes,Business Owner,10202.76,0.0,407.11,240,0.0,Rural,N
LP100987,Male,Yes,0,Graduate,No,Salaried,6627.22,224.01,308.75,180,1.0,Urban,Y
LP100978,Male,No,0,Graduate,Yes,Self-Employed,5462.18,0.0,253.35,360,0.0,Urban,N
LP100722,Male,Yes,,Graduate,No,Salaried,5273.73,0.0,257.3,240,1.0,Rural,Y
LP100289,Male,No,0,Graduate,Yes,Self-Employed,3700.23,0.0,157.48,300,1.0,Rural,Y
LP100217,Female,Yes,0,Graduate,Yes,Business Owner,3112.5,0,77.87,240,1.0,Semiurban,Y
LP100404,Male,No,3+,Graduate,No,Salaried,3540.68,2473.0,246.31,240,1.0,Urban,Y
LP100408,Male,Yes,0,Not Graduate,Yes,Self-Employed,1576.1,0.0,72.47,180,1.0,Semiurban,Y
LP100326,Female,No,0,Graduate,No,Salaried,4757.7,0.0,,120,1.0,Semiurban,Y
LP100896,Male,No,1,Graduate,No,Salaried,1158.85,0.0,84.03,240,0.0,Urban,N
LP100922,Male,Yes,0,Not Graduate,No,Salaried,3521.89,3749.87,343.77,360,1.0,Urban,Y
LP100926,Male,Yes,0,Graduate,Yes,Self-Employed,4214.74,2809.6,281.76,120,1.0,Semiurban,Y
LP100219,Male,No,0,Graduate,,Salaried,6629.11,0.0,217.31,300,1.0,Urban,Y
LP100847,Male,Yes,0,Graduate,Yes,Business Owner,7101.72,0.0,290.22,120,0.0,Urban,N
LP100792,Male,Yes,1,Graduate,,Salaried,4356.04,0.0,146.92,240,1.0,Urban,Y
LP100126,Female,Yes,2,Graduate,No,Salaried,7259.81,5943.61,546.34,120,1.0,Urban,Y
LP100786,Male,No,0,Graduate,Yes,Freelancer,6813.89,2886.14,313.22,240,1.0,Urban,Y
LP100821,Male,,2,Graduate,No,Salaried,3689.53,5061.08,350.94,360,1.0,Semiurban,Y
LP100928,Male,Yes,2,Graduate,No,Salaried,3779.87,3141.31,276.75,360,,Rural,Y
LP100378,Female,No,1,Graduate,Yes,Self-Employed,7426.6,0,279.31,300,0.0,Urban,N
LP100552,Male,Yes,0,Graduate,No,Salaried,3516.37,0.0,178.28,300,1.0,Semiurban,Y
LP100132,Female,Yes,0,Graduate,,Self-Employed,5481.92,0.0,,,1.0,Rural,N
LP100230,Male,Yes,0,Graduate,Yes,Freelancer,4938.28,0.0,177.07,300,1.0,Rural,Y
LP100501,Male,Yes,0,Graduate,Yes,Freelancer,5985.42,0.0,246.22,360,0.0,Urban,N
LP100939,Male,Yes,1,Graduate,No,Salaried,2721.01,2708.45,163.56,120,1.0,Rural,Y
LP100407,,,1,Graduate,Yes,Self-Employed,4926.39,0.0,244.84,120,1.0,Rural,Y
LP100094,Male,Yes,0,Graduate,Yes,Self-Employed,4436.14,550.69,178.78,180,1.0,Urban,Y
LP100577,Male,No,0,Not Graduate,No,Unemployed,500,1017.88,63.22,240,1.0,Semiurban,Y
LP100868,Male,Yes,1,Graduate,Yes,Freelancer,4325.45,0.0,170.52,120,1.0,Rural,Y
LP100091,Male,Yes,3+,Graduate,Yes,Self-Employed,500,1589.52,116.41,360,0.0,Urban,N
LP100319,Male,No,0,Not Graduate,Yes,Freelancer,1710.51,0,109.85,240,1.0,Rural,Y
LP100489,Male,Yes,0,Graduate,,Salaried,2393.23,0,71.1,120,1.0,Urban,Y
LP100391,Male,Yes,3+,Graduate,,Salaried,3700.48,1572.55,243.96,120,1.0,Urban,Y
LP100934,Male,No,3+,Graduate,Yes,Freelancer,4627.65,221.02,229.05,180,1.0,Urban,Y
LP100367,Male,,0,Not Graduate,Yes,Freelancer,5166.32,3234.29,323.78,120,1.0,Urban,Y
LP100335,Male,No,0,Graduate,,Salaried,3994.91,0.0,171.34,180,1.0,Semiurban,Y
